"Time( 07)","Access point","SSID","Client","Category","Event type","Details"
"Dec 16 08:02:58","KhuE_E104","","e2:b4:9f:8b:45:23","Events dropped","Events dropped","""67 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuB_B206","","trinhxinh","Events dropped","Events dropped","""61 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuB_ThuVienCS1","UTH","f6:ec:c4:07:0e:e3","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:02:58","KhuB_B302","UTH","Qingshu","802.1X","802.1X authentication","""radio: 0, vap: 3, client_mac: 6E:EF:0A:6D:98:9B"""
"Dec 16 08:02:58","KhuB_B302","UTH","Qingshu","802.11","802.11 association","""channel: 1, rssi: 49, band: 2"""
"Dec 16 08:02:58","KhuA_L1_Server","","Android_RT3SOFTP","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.203.65.123, Source Port: 50292, Destination IP: 216.239.32.223"""
"Dec 16 08:02:58","KhuA_Ltret_CLC","UTH","26:86:d6:a2:27:ab","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:02:58","KhuC_C009","UTH","9320db4d-ab67-413c-a2ef-8bcb2948ce9a","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:02:58","KhuE_E101","","Android_7JQKPB3H","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.72.113.116, Source Port: 39710, Destination IP: 57.144.160.192"""
"Dec 16 08:02:58","KhuB_B201","","Galaxy-A22","Events dropped","Events dropped","""196 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuB_B201","","Long-Chaus-Macbook-Pro-14","Events dropped","Events dropped","""518 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuB_B201","","OPPO-A96","Events dropped","Events dropped","""815 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:57","KhuC_C208","","10-35-215-190","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.35.215.190, Source Port: 43092, Destination IP: 163.70.159.42"""
"Dec 16 08:02:57","KhuB_B105","","Galaxy-A06","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.193.142.192, Source Port: 54626, Destination IP: 163.70.159.42"""
"Dec 16 08:02:57","KhuB_B304","UTH","OPPO-Reno11-F-5G","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:02:57","KhuC_C208","UTH","e3b53270-2042-4c67-ba77-dcf8aec62f27","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: A6:68:4C:93:D0:A3"""
"Dec 16 08:02:57","KhuC_C208","UTH","e3b53270-2042-4c67-ba77-dcf8aec62f27","802.11","802.11 association","""channel: 60, rssi: 29, band: 5"""
"Dec 16 08:02:57","KhuA_Trai1","","Android_8M6PVKH7","Events dropped","Events dropped","""2255 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:57","KhuA_Trai1","","Redmi-Note-13","Events dropped","Events dropped","""32 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:57","KhuB_B105","","Galaxy-A06","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.193.142.192, Source Port: 50198, Destination IP: 163.70.159.42"""
"Dec 16 08:02:57","KhuB_B003","","aeb6dde1-ee9d-40a4-93f2-d72cd617b378","Events dropped","Events dropped","""166 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:57","KhuE_E101","","Android_7JQKPB3H","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.72.113.116, Source Port: 56600, Destination IP: 163.70.159.7"""
"Dec 16 08:02:57","KhuC_C208","UTH","e3b53270-2042-4c67-ba77-dcf8aec62f27","802.11","802.11 disassociation","""client has left AP"""
"Dec 16 08:02:57","KhuE_E101","","Android_7JQKPB3H","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.72.113.116, Source Port: 55974, Destination IP: 163.70.159.7"""
"Dec 16 08:02:57","KhuE_E101","","Redmi-13C","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.161.61.219, Source Port: 45922, Destination IP: 163.70.159.42"""
"Dec 16 08:02:57","KhuE_E101","","Android_7JQKPB3H","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.72.113.116, Source Port: 59818, Destination IP: 163.70.159.142"""
"Dec 16 08:02:57","KhuC_C103","UTH","3b8105ec-130e-45d9-aa38-dd6c287cb68b","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: 4E:75:9A:D2:38:F4"""
"Dec 16 08:02:57","KhuC_C103","UTH","3b8105ec-130e-45d9-aa38-dd6c287cb68b","802.11","802.11 association","""channel: 52, rssi: 26, band: 5"""
"Dec 16 08:02:57","KhuC_C008","UTH","1050b2c6-1e4d-43a6-b92e-ebad95e513e6","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: 42:5F:FD:97:97:A8"""
"Dec 16 08:02:57","KhuC_C008","UTH","1050b2c6-1e4d-43a6-b92e-ebad95e513e6","802.11","802.11 association","""channel: 52, rssi: 22, band: 5"""
"Dec 16 08:02:57","KhuE_E101","","Android_7JQKPB3H","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.72.113.116, Source Port: 55974, Destination IP: 163.70.159.7"""
"Dec 16 08:02:57","KhuE_E101","","Android_7JQKPB3H","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.72.113.116, Source Port: 49060, Destination IP: 163.70.159.142"""
"Dec 16 08:02:57","KhuE_E101","","","Events dropped","Events dropped","""179 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:57","KhuE_E101","","Xiaomi-13T","Events dropped","Events dropped","""1004 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:57","KhuE_E101","","Android-4","Events dropped","Events dropped","""38 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:57","KhuB_B006","","realme-C51","Events dropped","Events dropped","""71 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:57","KhuB_B006","","a00b1446-1412-4970-86ae-7305484a3f31","Events dropped","Events dropped","""175 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:57","KhuD_D503","","Android_C2QUEQ7P","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.220.213.81, Source Port: 34656, Destination IP: 163.70.159.42"""
"Dec 16 08:02:57","KhuC_C208","UTH","e3b53270-2042-4c67-ba77-dcf8aec62f27","802.11","802.11 association","""channel: 60, rssi: 26, band: 5"""
"Dec 16 08:02:57","KhuC_C103","UTH","3b8105ec-130e-45d9-aa38-dd6c287cb68b","802.11","802.11 disassociation","""client has left AP"""
"Dec 16 08:02:57","KhuC_C008","UTH","1050b2c6-1e4d-43a6-b92e-ebad95e513e6","802.11","802.11 disassociation","""client has left AP"""
"Dec 16 08:02:57","KhuB_B004","UTH","f2:35:cd:02:7f:50","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: F2:35:CD:02:7F:50"""
"Dec 16 08:02:57","KhuB_B004","UTH","f2:35:cd:02:7f:50","802.11","802.11 association","""channel: 112, rssi: 31, band: 5"""
"Dec 16 08:02:57","KhuA_Ltret_CLC","UTH for Staff","iPhone","802.11","802.11 disassociation","""client has left AP"""
"Dec 16 08:02:56","KhuC_C208","","7828d87f-8d96-4dc0-adbe-42295543db7e","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.130.139.233, Source Port: 62078, Destination IP: 20.60.237.161"""
"Dec 16 08:02:56","KhuA_L1_Server","","Android_RT3SOFTP","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.203.65.123, Source Port: 47844, Destination IP: 216.239.38.223"""
"Dec 16 08:02:56","KhuD_D503","","Android_C2QUEQ7P","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.220.213.81, Source Port: 46795, Destination IP: 163.70.159.42"""
"Dec 16 08:02:56","KhuC_C009","","Android_ec47747680a2497e90ce0a6922a49989","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.30.201.224, Source Port: 46892, Destination IP: 57.144.160.144"""
"Dec 16 08:02:56","KhuC_C109","UTH","V2201","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: 6A:33:CE:6B:63:0E"""
"Dec 16 08:02:56","KhuC_C109","UTH","V2201","802.11","802.11 association","""channel: 52, rssi: 20, band: 5"""
"Dec 16 08:02:56","KhuB_B009","UTH","da:15:0d:03:de:2b","802.1X","802.1X authentication","""radio: 0, vap: 3, client_mac: DA:15:0D:03:DE:2B"""
"Dec 16 08:02:56","KhuB_B009","UTH","da:15:0d:03:de:2b","802.11","802.11 association","""channel: 1, rssi: 16, band: 2"""
"Dec 16 08:02:56","KhuB_B310","UTH","10-206-152-20","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: F2:17:32:7D:E2:2C"""
"Dec 16 08:02:56","KhuB_B310","UTH","10-206-152-20","802.11","802.11 association","""channel: 112, rssi: 25, band: 5"""
"Dec 16 08:02:56","KhuB_B004","UTH","f2:35:cd:02:7f:50","802.11","802.11 disassociation","""client has left AP"""
"Dec 16 08:02:56","KhuF_F603","UTH","82:87:10:fb:c2:9e","802.11","802.11 disassociation","""previous authentication expired"""
"Dec 16 08:02:56","KhuF_F603","UTH","82:87:10:fb:c2:9e","802.11","802.11 disassociation","""client was deauthenticated"""
"Dec 16 08:02:56","KhuF_F301","UTH","61a5ff55-e983-4087-9e4e-f91935a9e335","802.11","802.11 association","""channel: 112, rssi: 22, band: 5"""
